sp.name,Longitude,Latitude
Hamadryas_glauconome,-103.8436111,18.9555556
Hamadryas_glauconome,-99.0575,18.8994444
Hamadryas_glauconome,-99.0575,18.8994444
Hamadryas_glauconome,-97.8175,20.2386111
Hamadryas_glauconome,-94.7238889,17.0833333
Hamadryas_glauconome,-103.8830556,19.2666667
Hamadryas_glauconome,-103.8830556,19.2666667
Hamadryas_glauconome,-103.0666667,19.7166667
Hamadryas_glauconome,-91.7327778,16.1166667
Hamadryas_glauconome,-103.7252778,19.0066667
Hamadryas_glauconome,-103.7252778,19.0066667
Hamadryas_glauconome,-103.7569444,19.0511111
Hamadryas_glauconome,-103.7569444,19.0511111
Hamadryas_glauconome,-96.4722222,15.8883333
Hamadryas_glauconome,-102.2844444,18.3041667
Hamadryas_glauconome,-102.2844444,18.3041667
Hamadryas_glauconome,-102.3366667,18.3716667
Hamadryas_glauconome,-102.0716667,18.4494444
Hamadryas_glauconome,-102.0716667,18.4494444
Hamadryas_glauconome,-102.2763889,18.2822222
Hamadryas_glauconome,-96.9275,19.54
Hamadryas_glauconome,-103.7072222,19.0016667
Hamadryas_glauconome,-103.7072222,19.0016667
Hamadryas_glauconome,-101.5952778,19.2591667
Hamadryas_glauconome,-98.7866667,21.3047222
Hamadryas_glauconome,-102.7997222,18.8830556
Hamadryas_glauconome,-104.0772222,19.6322222
Hamadryas_glauconome,-99.1688889,23.6752778
Hamadryas_glauconome,-99.1688889,23.6752778
Hamadryas_glauconome,-108.895,27.0225
Hamadryas_glauconome,-103.8663889,19.0830556
Hamadryas_glauconome,-99.1666667,23.0830556
Hamadryas_glauconome,-99.5322222,18.4030556
Hamadryas_glauconome,-109.7330556,28.5330556
Hamadryas_glauconome,-109.7330556,28.5330556
Hamadryas_glauconome,-99.0997222,22.6
Hamadryas_glauconome,-96.5488889,19.3441667
Hamadryas_glauconome,-99.8597222,16.8291667
Hamadryas_glauconome,-96.4697222,15.71
Hamadryas_glauconome,-96.4697222,15.71
Hamadryas_glauconome,-99.5152778,18.3316667
Hamadryas_glauconome,-102.8169444,23.2033333
Hamadryas_glauconome,-102.8169444,23.2033333
Hamadryas_glauconome,-106.3955556,23.2752778
Hamadryas_glauconome,-109.3594444,28.8266667
Hamadryas_glauconome,-109.3594444,28.8266667
Hamadryas_glauconome,-99.3122222,22.4991667
Hamadryas_glauconome,-99.4561111,21.2077778
Hamadryas_glauconome,-98.9344444,22.7138889
Hamadryas_glauconome,-98.9344444,22.7138889
Hamadryas_glauconome,-96.8958333,19.4041667
Hamadryas_glauconome,-109.3666667,28.5830556
Hamadryas_glauconome,-109.3666667,28.5830556
Hamadryas_glauconome,-95.4,16.3997222
Hamadryas_glauconome,-96.2944444,19.1958333
Hamadryas_glauconome,-103.8830556,19.2666667
Hamadryas_glauconome,-99.2213889,18.8991667
Hamadryas_glauconome,-103.7569444,19.0511111
Hamadryas_glauconome,-96.9344444,19.0655556
Hamadryas_glauconome,-99.15,23.0330556
Hamadryas_glauconome,-99.3980556,22.605
Hamadryas_glauconome,-91.8666667,15.9666667
Hamadryas_glauconome,-91.8666667,15.9666667
Hamadryas_glauconome,-98.2927778,23.795
Hamadryas_glauconome,-99.01,21.9430556
Hamadryas_glauconome,-99.3766666,18.6638888
Hamadryas_glauconome,-99.3766666,18.6638888
Hamadryas_glauconome,-96.3652777,15.8669444
Hamadryas_glauconome,-96.3652777,15.8669444
Hamadryas_glauconome,-96.5047222,16.0594444
Hamadryas_glauconome,-96.5047222,16.0594444
Hamadryas_glauconome,-96.1761111,15.7852777
Hamadryas_glauconome,-96.1761111,15.7852777
Hamadryas_glauconome,-96.1552777,15.7555555
Hamadryas_glauconome,-96.1552777,15.7555555
Hamadryas_glauconome,-99.5573333,18.6369999
Hamadryas_glauconome,-99.4434722,18.4494722
Hamadryas_glauconome,-99.4434722,18.4494722
Hamadryas_glauconome,-99.4800555,18.6006944
Hamadryas_glauconome,-99.1459722,18.3174444
Hamadryas_glauconome,-99.1459722,18.3174444
Hamadryas_glauconome,-99.5230277,18.4124999
Hamadryas_glauconome,-99.5230277,18.4124999
Hamadryas_glauconome,-99.4834333,18.4142249
Hamadryas_glauconome,-99.4902777,18.4180555
Hamadryas_glauconome,-99.4902777,18.4180555
Hamadryas_glauconome,-99.4958333,18.3991944
Hamadryas_glauconome,-99.4958333,18.3991944
Hamadryas_glauconome,-99.1515,18.4672777
Hamadryas_glauconome,-99.1515,18.4672777
Hamadryas_glauconome,-99.1575,18.4199999
Hamadryas_glauconome,-99.1575,18.4199999
Hamadryas_glauconome,-99.0219444,18.5367222
Hamadryas_glauconome,-99.0410555,18.5225555
Hamadryas_glauconome,-99.2747222,18.4874999
Hamadryas_glauconome,-99.3905277,18.8351944
Hamadryas_glauconome,-99.3905277,18.8351944
Hamadryas_glauconome,-99.4255972,18.6843472
Hamadryas_glauconome,-99.0790555,18.5140277
Hamadryas_glauconome,-98.8249999,18.3749999
Hamadryas_glauconome,-98.5916666,18.3416666
Hamadryas_glauconome,-98.5916666,18.3416666
Hamadryas_glauconome,-98.7111111,18.2902777
Hamadryas_glauconome,-93.205,16.8677777
Hamadryas_glauconome,-93.205,16.8677777
Hamadryas_glauconome,-93.1774999,16.7566666
Hamadryas_glauconome,-93.2147222,16.8408333
Hamadryas_glauconome,-93.2147222,16.8408333
Hamadryas_glauconome,-93.2083333,16.8455555
Hamadryas_glauconome,-93.2083333,16.8455555
Hamadryas_glauconome,-99.2292222,23.8697499
Hamadryas_glauconome,-93.2172222,16.8369444
Hamadryas_glauconome,-93.2172222,16.8369444
Hamadryas_glauconome,-93.1874999,16.8486111
Hamadryas_glauconome,-93.2135,16.8428333
Hamadryas_glauconome,-93.2135,16.8428333
Hamadryas_glauconome,-96.3159444,17.7555833
Hamadryas_glauconome,-92.9728888,16.7518333
Hamadryas_glauconome,-93.2147777,16.8411944
Hamadryas_glauconome,-93.2147222,16.8413888
Hamadryas_glauconome,-91.2980555,16.2019444
Hamadryas_glauconome,-91.3074999,16.2002777
Hamadryas_glauconome,-91.2988888,16.2022222
Hamadryas_glauconome,-91.3025,16.2005555
Hamadryas_glauconome,-91.3016666,16.2011111
Hamadryas_glauconome,-91.3091666,16.2
Hamadryas_glauconome,-91.3097222,16.1933333
Hamadryas_glauconome,-104.1903438,19.8178038
Hamadryas_glauconome,-96.541213,19.186528
Hamadryas_glauconome,-95.7379999,16.0379999
Hamadryas_glauconome,-96.541208,19.177553
Hamadryas_glauconome,-99.3959249,21.1604049
Hamadryas_glauconome,-96.0617063,15.8094316
Hamadryas_glauconome,-96.5340513,19.180973
Hamadryas_glauconome,-96.4641569,19.3436086
Hamadryas_glauconome,-96.6662366,19.1942041
Hamadryas_glauconome,-96.1341427,15.7691969
Hamadryas_glauconome,-96.1341427,15.7691969
Hamadryas_glauconome,-93.7448786,16.1299674
Hamadryas_glauconome,-96.541223,19.1784063
